name,throw_bat,year,decade,avg,obp,slg,ops,hr,rbi,rank,team_game
ÀÌ½Â¿±,ÁÂÁÂ,1997,1990,0.329,0.393,0.598,0.99,32,114,2,126
¹ÚÁ¤ÅÂ,¿ì¿ì,1999,1990,0.329,0.414,0.452,0.866,11,83,7,132
¾çÁØÇõ,ÁÂÁÂ,2003,2000,0.329,0.393,0.614,1.008,33,92,4,133
È«¼ºÈç,¿ì¿ì,2004,2000,0.329,0.384,0.475,0.859,14,86,3,133
ÀÌÁø¿µ,ÁÂÁÂ,2013,2010,0.329,0.392,0.429,0.822,3,62,3,128
³ª¼º¹ü,ÁÂÁÂ,2014,2010,0.329,0.4,0.597,0.997,30,101,13,128
Á¤¼ºÈÆ,¿ì¿ì,2014,2010,0.329,0.426,0.501,0.927,13,59,14,128
¼Õ¾Æ¼·,¿ìÁÂ,2018,2010,0.329,0.404,0.546,0.95,26,93,16,144
ÀÌÀç¿ø,¿ì¿ì,2018,2010,0.329,0.406,0.514,0.919,17,57,17,144
¾çÁØÇõ,ÁÂÁÂ,1997,1990,0.328,0.462,0.627,1.089,30,98,3,126
µ¥ÀÌºñ½º,ÁÂÁÂ,1999,1990,0.328,0.38,0.57,0.95,30,106,8,132
¸¶ÇØ¿µ,¿ì¿ì,2001,2000,0.328,0.418,0.557,0.975,30,95,6,133
ÀÌÁø¿µ,ÁÂÁÂ,2003,2000,0.328,0.4,0.52,0.92,17,70,5,133
ÃÖÁ¤,¿ì¿ì,2008,2000,0.328,0.403,0.48,0.883,12,61,3,126
¹Ú¿ëÅÃ,¿ìÁÂ,2013,2010,0.328,0.398,0.435,0.833,7,67,4,128
¾çÀÇÁö,¿ì¿ì,2020,2010,0.328,0.4,0.603,1.003,33,124,10,144
±è¼ºÇÑ,¿ì¿ì,1983,1980,0.327,0.402,0.448,0.85,7,40,3,100
±è¿ëÃ¶,¿ì¿ì,1984,1980,0.327,0.397,0.59,0.987,21,67,3,100
±è±¤¸²,ÁÂÁÂ,1987,1980,0.327,0.394,0.412,0.806,2,17,6,108
°í¿øºÎ,¿ì¿ì,1989,1980,0.327,0.407,0.439,0.845,6,45,1,120
È£¼¼,¿ì¾ç,1999,1990,0.327,0.43,0.636,1.067,36,122,9,132
ÇÁ¶ûÄÚ,¿ì¿ì,2000,1990,0.327,0.408,0.509,0.917,22,110,6,133
Á¶¼ºÈ¯,¿ì¿ì,2008,2000,0.327,0.387,0.463,0.85,10,81,4,126
