name,code,year,g,tpa,ab,h,2b,3b,hr,tb,rbi,sb,cs,sh,sf,bb,ibb,hbp,so,gidp,e,avg_risp,ops_risp
김하성,64300,2017,141,601,526,159,36,3,23,270,114,16,8,2,7,58,2,8,65,8,18,0.357 ,1.121 
강한울,64610,2017,135,448,412,125,9,3,0,140,24,12,7,9,1,26,0,0,57,4,16,0.240 ,0.579 
허정협,65399,2017,83,266,228,54,9,0,9,90,39,1,2,1,1,24,1,12,73,2,1,0.225 ,0.776 
에반스,66244,2017,138,581,514,152,19,0,27,252,90,2,0,0,3,61,0,3,114,15,0,0.291 ,0.819 
로사리오,66740,2017,119,510,445,151,30,1,37,294,111,10,5,0,5,50,4,10,61,12,10,0.373 ,1.209 
김동엽,66838,2017,125,428,393,109,18,1,22,195,70,2,4,0,3,23,1,9,62,6,5,0.266 ,0.807 
로하스,67025,2017,83,367,336,101,27,3,18,188,56,5,8,0,3,23,0,5,81,6,3,0.294 ,0.926 
이정후,67341,2017,144,622,552,179,29,8,2,230,47,12,4,2,2,60,2,6,67,9,3,0.321 ,0.960 
러프,67450,2017,134,591,515,162,38,0,31,293,124,2,2,0,4,60,4,12,107,14,7,0.379 ,1.225 
번즈,67598,2017,116,468,423,128,38,0,15,211,57,10,7,2,3,29,0,11,100,18,8,0.324 ,0.955 
