name,code,year,tpa,ab,h
심창민,61411,2012,0,0,0
안규영,61215,2012,0,0,0
안지만,72463,2012,0,0,0
양훈,75750,2012,0,0,0
오승환,75421,2012,0,0,0
오주원,74359,2012,0,0,0
오준형,77641,2012,0,0,0
유동훈,99639,2012,0,0,0
이동현,71118,2012,0,0,0
이명우,72535,2012,0,0,0
이상열,96720,2012,0,0,0
이정훈,97541,2012,0,0,0
이혜천,98259,2012,0,0,0
장시환,77318,2012,0,0,0
정현욱,96462,2012,0,0,0
진해수,76650,2012,0,0,0
프록터,62230,2012,0,0,0
한기주,76610,2012,0,0,0
홍상삼,78247,2012,0,0,0
김건한,71851,2013,0,0,0
김광수,70142,2013,0,0,0
김사율,99563,2013,0,0,0
김성배,73226,2013,0,0,0
김진성,75867,2013,0,0,0
김태영,71255,2013,0,0,0
김혁민,77748,2013,0,0,0
김효남,76454,2013,0,0,0
노성호,62920,2013,0,0,0
문승원,62869,2013,0,0,0
박정배,75250,2013,0,0,0
박정진,99737,2013,0,0,0
박종윤,62338,2013,0,0,0
박지훈,62637,2013,0,0,0
박희수,76858,2013,0,0,0
배영수,70425,2013,0,0,0
손승락,75321,2013,0,0,0
송은범,73801,2013,0,0,0
송창식,74731,2013,0,0,0
신승현,70839,2013,0,0,0
신용운,72649,2013,0,0,0
신재웅,75138,2013,0,0,0
심동섭,60636,2013,0,0,0
심창민,61411,2013,0,0,0
오승환,75421,2013,0,0,0
원용묵,76262,2013,0,0,0
유희관,79229,2013,0,0,0
윤길현,72862,2013,0,0,0
이동걸,77452,2013,0,0,0
이민호,62929,2013,0,0,0
이상열,96720,2013,0,0,0
이승호,70820,2013,0,0,0
이우선,79442,2013,0,0,0
이재영,72216,2013,0,0,0
이재학,60263,2013,0,0,0
전유수,75340,2013,0,0,0
정대현,71801,2013,0,0,0
정재훈,73241,2013,0,0,0
정현욱,96462,2013,0,0,0
조현근,75268,2013,0,0,0
진해수,76650,2013,0,0,0
최향남,90687,2013,0,0,0
한현희,62363,2013,0,0,0
홍상삼,78247,2013,0,0,0
강영식,70615,2014,0,0,0
고창성,78248,2014,0,0,0
권혁,72447,2014,0,0,0
김건한,71851,2014,0,0,0
김기태,76461,2014,0,0,0
김병현,62349,2014,0,0,0
김승회,73248,2014,0,0,0
김지훈,64640,2014,0,0,0
김진성,75867,2014,0,0,0
김진우,72641,2014,0,0,0
김태영,71255,2014,0,0,0
니퍼트,61240,2014,0,0,0
박근홍,74630,2014,0,0,0
박민호,64893,2014,0,0,0
박성호,79760,2014,0,0,0
박정배,75250,2014,0,0,0
박정진,99737,2014,0,0,0
박희수,76858,2014,0,0,0
배힘찬,72321,2014,0,0,0
밴덴헐크,63432,2014,0,0,0
봉중근,77147,2014,0,0,0
손민한,97571,2014,0,0,0
손승락,75321,2014,0,0,0
손정욱,63914,2014,0,0,0
송은범,73801,2014,0,0,0
송창식,74731,2014,0,0,0
신승현,70839,2014,0,0,0
신재웅,75138,2014,0,0,0
심동섭,60636,2014,0,0,0
심수창,74167,2014,0,0,0
심창민,61411,2014,0,0,0
안지만,72463,2014,0,0,0
여건욱,79825,2014,0,0,0
유원상,76757,2014,0,0,0
윤규진,73750,2014,0,0,0
